% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 30 2025, 13:55"
% Table,Table 1 - dmX parity
% scale,Eigenfrequency (GHz),ooo (1),eoo (1),oeo (1),ooe (1),eeo (1),eoe (1),oee (1),eee (1)
1,3.7432566576803694+1.1223624305120796E-5i,6.98826685173971E-5,3.1254175807813797E-4,0.013328440260119638,-8.343944036303058E-5,-0.0016135616400127228,-5.077915345178124E-4,7.951078166578002E-4,2.753665293818101
1,9.046792418196883+2.5627330675791715E-5i,-1.302938839345437E-4,-1.9897603950180115E-4,3.0679794414403133E-4,1.5281627960547165E-4,1.6078857457131914,0.003672486041285297,0.006017379085876004,0.005570791897705374
1,9.968680523242709+1.2613143344828257E-5i,0.0015073215797424327,-5.935663041260475E-4,1.5196523055932424E-4,1.5440191971920897E-4,8.112275974775235E-4,1.215793900412414,-0.004609245426661315,-0.0011732681259623845
1,10.932457535737223+3.323112416557941E-5i,-1.8764356952242914E-4,-4.835857899463741E-4,7.984825876998641E-4,2.336920681919371E-4,-0.024617145256252942,-0.00888493506152048,-1.0017533733519282,0.00359691480300936
1,15.438063019849915+2.313313948295633E-5i,-7.068525348761243E-5,-0.29018584695097444,4.3165997306888505E-4,0.003465634403684837,4.593591017638815E-4,-7.268919065498633E-4,-2.7724145598479757E-4,-7.696956287271822E-4
1,16.14639595976857+7.318146329129108E-5i,-9.304535427862948E-5,0.002888495231883558,0.09298106945764047,2.7145327468864624E-4,-1.7016136423705398E-4,-8.148606037985187E-4,4.6579240806023103E-4,0.10618155122348535
1,22.51659555770023+6.907899924503064E-5i,7.907865127321149E-4,-5.922249010363451E-4,-0.0012990071828573382,-0.07207897573517173,0.001048551284488053,7.545831041891188E-4,-0.001231059368065425,0.025295486288592586
1,22.574115256548197-1.9708738096637193E-5i,4.8412006087963965E-6,0.004775674733503295,1.261791949601211E-4,0.02030310470805099,1.2737958639376986E-4,-2.5157358309389798E-5,9.088433275667232E-5,0.0030230513207009863
1.2,3.745908927437222-2.4563263385590504E-6i,1.338534711126443E-4,3.4953023601777544E-6,0.017483545791795146,-8.667097322551673E-4,9.082670096111356E-4,-6.83847947917815E-4,-0.001811165133660586,2.7944918589216927
1.2,7.465040035214527-1.930853718935471E-5i,-4.284215680459145E-4,-0.002386896263659958,-0.0025885386883599815,-4.729206387807817E-4,-1.4268883579210994,-0.010182798635634892,-0.03821014171710899,-0.0016287327302410004
1.2,7.838715136861623+1.5281885032909304E-6i,-0.0023155422960752367,-1.841824426474653E-4,-9.42379410035713E-4,9.89657017827831E-4,0.01736316493820062,-1.2610816822422066,0.010661974657181463,-5.963202319556604E-4
1.2,8.807977812265916+1.1197095197068156E-5i,-2.0677966996354626E-4,-0.0013044374610999675,-7.51256230852218E-4,0.0020051136068734206,-0.048628550845021774,-0.010386804691314224,-1.0970530440807793,1.3027166644902222E-4
1.2,11.745876786851843-3.0998003592528585E-6i,3.615927712090567E-4,0.35402895216518004,0.011708818540178509,0.0037587560681744962,-0.004300768342428589,-1.9731039296878167E-4,-0.0017075641906010809,-0.003324285248240827
1.2,12.43981978729122-7.093103108292747E-7i,7.871767813988403E-4,-0.018442723376096194,0.5119714655879252,0.0012775374770205932,-0.007234656189661626,-0.001012465680387228,4.2928423771362856E-4,0.11235463242741454
1.2,16.575999101076953+1.0863413437925758E-5i,1.6647390194101785E-4,-9.668019271109884E-5,-5.688892838581483E-4,-0.08070812026722954,1.5765840741392353E-4,0.0031271649070034463,-0.0021784763254620795,0.03963690063687681
1.2,16.766807956287188-1.3564982848722919E-5i,1.5034926928154707E-5,0.004981249368321088,9.153966914346061E-4,0.02549118696390723,-4.8475038328971897E-4,-5.814499372363245E-5,-2.0551340398215594E-4,6.440388769326771E-4
1.4,3.7462266294717814-2.5505910154135824E-8i,-1.6681200536311025E-5,4.000981662780241E-4,0.020890816107396744,-9.679841817946191E-5,0.0012186145328037523,2.629417198265621E-4,1.9616786927473956E-4,2.7931598919439353
1.4,6.528141671602197-5.878574531835394E-8i,-2.1021910882015188E-5,-1.45271700259908E-4,6.954183286092541E-5,-9.850795428229496E-5,1.8300233661955592,0.006624481174080488,0.048282403945197755,-0.0017413745686457038
1.4,6.558215401375553+2.0930573272744707E-6i,-9.505920213509929E-4,4.2057889273369037E-4,-4.207881712855132E-4,-7.888443956327942E-5,-0.01058812888348691,1.6789003650996415,-0.009595950281006876,5.3913132549765486E-5
1.4,7.513403097060278-4.465098229521084E-7i,-1.4968774912186514E-4,5.940114073781288E-4,-6.407336799061775E-4,-4.392795981877223E-5,-0.10143267361808321,-0.006471931420339153,-1.0864011455381142,-5.049028870193761E-4
1.4,9.541219263292776+5.859985620942266E-7i,-1.145392137695024E-5,0.26461883748961984,-0.001406724290595175,0.0033176584858430874,-9.125581314785997E-5,-5.683736186883753E-4,6.206746869642271E-4,-0.0016646344466720725
1.4,10.24905419683567-7.969889947064826E-7i,3.442323568470136E-5,0.002448827429117976,0.4802015640836744,2.1823910877026738E-4,2.921227339449141E-4,4.5525196257411096E-4,-5.410318522407337E-4,0.13613123215012624
1.4,13.076233791487372+4.168719203512446E-6i,-8.209301626436896E-6,-2.6583931527154187E-5,1.1792362063622799E-4,0.003052836334452023,2.0122803470779688E-4,-4.5721618821881194E-4,8.722099481288728E-6,0.053845655924370045
1.4,13.192311555874733-2.7079005321792007E-7i,-2.2219668054081904E-4,0.003536546645608587,-6.451922269008065E-5,-0.3430966072615327,-2.433131789877658E-4,-2.1138880013736594E-4,-1.9246772490745523E-4,5.746585664628545E-4
1.6,3.740155387812777-4.371745525418811E-7i,-1.552931831378221E-4,4.7265256419158977E-4,0.02626877070058062,4.955195880159307E-4,-9.381673310090988E-5,-0.0017058177596813162,-0.00245239982323963,2.6529343121974933
1.6,5.712681696614554+1.105571976473674E-5i,-0.0036472732591473875,0.003182107484248839,0.0037511837139809516,-4.789997306494671E-4,0.004479873716229349,-1.051337991041178,-0.009788662127297563,-0.005504247959420588
1.6,5.8974949454496235-7.697527127118849E-7i,-6.216945582641184E-4,-1.598138581447861E-4,0.0030539685718318672,9.044828174376346E-4,-1.0751337407883041,-0.005819613314135379,0.13335800599016853,-0.0011785552534512855
1.6,6.6728765017391884+9.212975558179845E-6i,-2.2021572589129602E-4,-0.0011600901509709414,0.001099049322476689,6.66891398496179E-4,0.20347159896100728,-0.0048946949031210656,0.6027160059995369,2.709269366800854E-4
1.6,8.077825788288864-5.093016468135428E-6i,-2.85038100589092E-4,-0.2260744380783626,-0.004324448181687243,0.0035517888217434746,-6.74866038070869E-4,-0.0032517902494195103,-0.005389691634940983,-0.005677011035530727
1.6,8.812524382350933+1.559585056895389E-5i,6.840953475012465E-4,-0.004094170596068245,0.21861014881437865,-0.0013332243621872542,7.978884480541971E-4,6.30598030253969E-5,-0.001189059571781531,0.18909131820573566
1.6,10.737659098461712-2.740587648224334E-6i,-9.318425043922581E-4,0.0011708392882328871,0.003049005330621136,0.029278446751859658,-8.328064666843944E-4,-0.0038823740725577316,5.211421768799167E-4,0.027066378253935208
1.6,10.870049009672194+3.9445966899556195E-5i,0.0022162568996443813,-8.808064019946652E-4,-0.002604218512934948,-0.34076735649419054,-0.002317827010395619,0.0035239599720345693,0.00221641989978847,0.019397623177033602
1.8,3.7405055994405134+2.0588234694731392E-7i,3.7309538508226202E-6,-7.827348403202997E-5,0.02592275338395654,1.790076388600917E-4,-5.103232495108079E-4,0.0012233183595919198,0.0014883911743721334,2.994713363562756
1.8,5.14627215595803+6.669427184183776E-6i,0.0013614574205834847,-8.042157092823105E-4,0.0014696636954324258,-1.4451573691114106E-4,0.12002044595109085,1.6946539524234205,0.011522958455376844,-0.0031425823903386274
1.8,5.455622619223-4.309887374595537E-6i,-1.8641619489164884E-4,-0.0013566363549529295,9.13405894741981E-4,-3.449897376653383E-4,-2.0547104379073216,0.0956160144783895,0.029687185225080834,0.004205285140191917
1.8,6.096609874023797-8.892285528546805E-7i,-2.6247131053780317E-5,-0.0015270784278723793,-1.6154502221844835E-5,-2.8525851716131555E-4,0.25891758775893925,8.304601505033701E-4,-0.8896675628017556,0.004172988814123535
1.8,7.096729825299129-9.692457619672131E-6i,1.0290927151799384E-5,0.14447912294724902,0.0015614976830546118,7.945187166945563E-4,-5.839423976625457E-4,0.0014171292424610717,5.778490279444493E-4,-9.22855977296716E-4
1.8,7.794209294124219-1.3273086669913837E-5i,1.617574548054843E-4,-0.0036158365646131478,0.760773829642285,0.004752034570724919,0.0015375785319280966,-0.002521858666839163,0.001316182817498568,-0.05937733690603761
1.8,9.1426305347721-1.635080806020469E-5i,-1.5221642294579335E-4,0.006393939880021106,3.256701586419712E-4,-0.00165270455613781,0.0014538829195830426,4.509964440434916E-5,-3.534163545174107E-4,0.12137545136957575
1.8,9.312397262192645+1.5955131539615743E-5i,-1.9082457346751222E-4,-1.230186683909497E-4,-0.0023138119391649037,0.10837795595610328,2.773533904194478E-5,-1.0621249571968368E-4,-2.2615372339690638E-4,-0.0031609426239283655
2,3.7392037008862147-4.727730286372007E-7i,1.4558548959344884E-4,0.0021009205745423296,0.02993881774970717,-1.8259104464271939E-4,-0.003050609261685072,-0.0029076030911874967,5.67863100035676E-4,2.754305544744738
2,4.736939058031541+1.5039257772234011E-5i,0.0041762261274279795,-0.0014447201884922461,8.064108572994472E-4,-1.0499084571978512E-5,-0.014565829865814076,1.3336503333261436,-0.004039942873834105,-0.016207229492830433
2,5.140463939855263-3.1678757749076926E-6i,-1.1977835219968182E-4,0.0010402075906009792,9.984101293409597E-4,2.4938931231577094E-4,2.0295689374077672,0.012183948238911183,0.015148992132570649,0.010162636300252825
2,5.687393164669319-1.2297452983236081E-6i,-4.037593584365793E-4,-0.006516939848467498,9.86516248577804E-4,5.185754057118099E-4,-0.37516741438455725,-0.005375980351333506,-0.7591484693589832,0.0030018197299650495
2,6.385650603730692-3.260952066895561E-6i,1.0155330571034928E-5,-0.1831185238717944,-6.987828275039615E-4,-0.0010276405977077828,0.006712614558664402,-0.0016522312901282588,-0.0043483129851989225,-0.002348862063232926
