% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 30 2025, 12:45"
% Table,Table 6 - Volume Integration 4
% scale,Eigenfrequency (GHz),ooo (1),eoo (1),oeo (1),ooe (1),eeo (1),eoe (1),oee (1),eee (1)
1,3.7432566576803694+1.1223624305120796E-5i,1.5774967034298663E-4,3.146829469817536E-4,0.01592724767030675,-3.6215519585329654E-5,-8.986810905374232E-4,-2.328596606878744E-4,5.256749239694741E-4,0.5670029927129454
1,9.046792418196883+2.5627330675791715E-5i,-2.9572173706963415E-4,-1.2287465723500451E-4,4.864784285318058E-4,4.612633208003671E-5,0.7824661491496709,0.001785181246026151,4.0415099819835626E-4,0.0011072212194224024
1,9.968680523242709+1.2613143344828257E-5i,0.003921745562323227,-7.042157602739629E-4,1.7922363189027475E-4,1.5433947047002565E-4,2.887559274730028E-4,0.6268710925509379,-0.0023183970539320236,-1.9174340997839268E-4
1,10.932457535737223+3.323112416557941E-5i,-4.526714380060446E-4,-4.709857802850193E-4,0.0010686111266087484,1.5654783394024319E-4,-0.009066260986523716,-0.004651452499168025,-0.5156083669838476,7.233488911871366E-4
1,15.438063019849915+2.313313948295633E-5i,-1.8830590023557157E-4,-0.3525872890409991,5.285510444538813E-4,0.005708042494019369,1.6500326530337686E-4,-4.381333662423943E-4,-1.050278744133893E-4,-5.25982499508873E-5
1,16.14639595976857+7.318146329129108E-5i,-2.3329337791958395E-4,0.0035472403201603163,0.11302098630204313,2.142737009672277E-4,-5.797756054267203E-5,-4.687127197405324E-4,2.1550674328826153E-4,0.03129408831608998
1,22.51659555770023+6.907899924503064E-5i,0.0020326709158899094,-9.582141788324998E-4,-0.0014895276020213573,-0.08086025422125631,3.581041995580486E-4,7.4578610832381E-4,-3.5441115465240786E-4,0.027222927484131822
1,22.574115256548197-1.9708738096637193E-5i,4.77717256307025E-6,0.006513694815042147,1.6165428597365817E-4,0.022887632351281977,5.0080891619164875E-6,9.111796099013116E-6,1.8871749285423282E-4,0.0033492703987857307
1.2,3.745908927437222-2.4563263385590504E-6i,3.904990853665592E-4,-5.7265887694064876E-5,0.020944150843291993,-0.0012802530227227406,3.81562506334851E-4,-1.5976405091953222E-4,-0.001040602824684489,0.575422742401788
1.2,7.465040035214527-1.930853718935471E-5i,-0.0011747952189291055,-0.0028322436650607685,-0.0031779992796389725,-7.973317144592696E-4,-0.6944971535450537,-0.005504731459459256,-0.016079945975848883,-5.739929365531568E-4
1.2,7.838715136861623+1.5281885032909304E-6i,-0.006081921262847095,-1.1140916700660974E-4,-0.0011792613911831874,0.0014375671589094662,0.008444512550046442,-0.6507573135929323,0.006013338908683831,-1.9333179682345936E-4
1.2,8.807977812265916+1.1197095197068156E-5i,-6.089859304888681E-4,-0.0015087917411075562,-8.634805520701255E-4,0.0028044491558175746,-0.01981470113629476,-0.005443093002524104,-0.5642263175622905,-1.6621669770723602E-4
1.2,11.745876786851843-3.0998003592528585E-6i,9.963481489695895E-4,0.4301576815261395,0.014237597707915592,0.006872642347651848,-0.00213912804117386,-2.3413452234739146E-5,-6.033765494543221E-4,-8.998093918425971E-4
1.2,12.43981978729122-7.093103108292747E-7i,0.0021431001919325777,-0.022546667089041045,0.6221608178947493,0.002036948511575565,-0.003644086709239318,-6.620822433747687E-5,7.319950183675948E-4,0.03445752570564111
1.2,16.575999101076953+1.0863413437925758E-5i,4.6480244781387046E-4,1.7453967901207706E-4,-6.056775063220145E-4,-0.09132415605437486,4.864487480439779E-5,1.359999285962532E-4,4.703625090960936E-4,0.03965445984786109
1.2,16.766807956287188-1.3564982848722919E-5i,4.115111218294188E-5,0.007132877965325822,9.97941793865313E-4,0.028586703385369054,-2.5960941989743854E-4,-1.2696547728192832E-4,-2.2812605199721636E-4,5.189894793646366E-4
1.4,3.7462266294717814-2.5505910154135824E-8i,-4.285175863287267E-5,4.77484802438477E-4,0.02500563125302955,-1.1272548477300054E-4,5.637583402740287E-4,1.238813435518113E-4,8.856883786738726E-5,0.5748483527003274
1.4,6.528141671602197-5.878574531835394E-8i,-5.4744630819279425E-5,-1.9347126048090135E-4,8.995651605171393E-5,-9.365102960951117E-5,0.8914682815717342,0.0033111085412974584,0.021826404619779437,-4.929099199017725E-4
1.4,6.558215401375553+2.0930573272744707E-6i,-0.0024776202566080523,4.994198517649096E-4,-5.010661692469607E-4,-1.0316331063334877E-4,-0.0051938055031744285,0.8660606194151879,-0.005009754154322955,3.912308370492695E-5
1.4,7.513403097060278-4.465098229521084E-7i,-3.910657635388965E-4,7.081426964568698E-4,-7.675462138427708E-4,-4.275097643400422E-5,-0.0443026523493977,-0.003316511185652595,-0.5588266001389157,-9.036954382695903E-5
1.4,9.541219263292776+5.859985620942266E-7i,-3.3591256508215626E-5,0.32155225150420935,-0.0017497321505024086,0.007027938426480605,-1.294384089038994E-5,-2.682780694949899E-4,3.4098517968380237E-4,-2.6568331263708035E-4
1.4,10.24905419683567-7.969889947064826E-7i,8.760686228964296E-5,0.0029852028197040774,0.5834661124499969,1.296358529518371E-4,1.6277040019629582E-4,2.980657233017806E-4,-4.1133266410980224E-4,0.04196759759606217
1.4,13.076233791487372+4.168719203512446E-6i,-2.279011993383431E-5,-8.176360519859122E-5,6.073223134823343E-4,0.003448769526592693,1.5060081707692421E-4,-2.84795030335995E-4,-2.167603617952117E-5,0.052540426890549795
1.4,13.192311555874733-2.7079005321792007E-7i,-5.789933627350086E-4,0.005515909339566831,-3.896274332709088E-6,-0.3861779743855722,-2.442772868766355E-4,-1.3563912208446396E-4,-1.2102601459989745E-4,-1.1125904225673527E-4
1.6,3.740155387812777-4.371745525418811E-7i,-2.9750787885903397E-4,8.665199745564317E-4,0.031195567238316832,3.253388974091005E-4,-5.381547827102706E-4,-0.0012267911999562578,-6.537531619463103E-4,0.5461531349081564
1.6,5.712681696614554+1.105571976473674E-5i,-0.00948644934786122,0.0037693263794336407,0.00467848936211317,-4.246126184712668E-4,0.0020838308018975085,-0.5422862386227176,-0.004575292507723063,-0.001101632921804499
1.6,5.8974949454496235-7.697527127118849E-7i,-0.0014456943833100816,3.084582057449048E-4,0.003396674819113616,4.905107754557233E-4,-0.5251161810695877,-0.0033801671366949677,0.06345324815948034,7.415741873768866E-5
