% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 30 2025, 12:57"
% Table,Table 7 - Volume Integration 4
% scale,Eigenfrequency (GHz),ooo (1),eoo (1),oeo (1),ooe (1),eeo (1),eoe (1),oee (1),eee (1)
5.6,3.198767270924621+9.791740729254436E-6i,-0.04297605211477902,-9.558794479433211E-4,5.61526497088816E-4,0.0010243674941249926,-0.0063790451681631916,-0.6135514213714474,-1.9235839632088247E-4,8.571277282061127E-4
5.6,3.383714558439245+1.2683125034048033E-5i,-1.9481335996261511E-4,0.013540261782937242,0.040425612865369456,-8.142003466528706E-4,-1.720962376513084E-4,0.0034892554919934184,-5.078194745390952E-4,-0.11157787634986961
5.6,3.635191453888753-1.3529393242935223E-5i,1.0051955923644218E-4,-0.3547183419035115,-1.384819914178985E-4,-0.14991097012636828,0.0012114271087595996,9.88782199086255E-4,0.0015546018899970492,-0.0017474329307544285
5.6,3.704738323458539-1.608117184379834E-5i,5.594369839819827E-4,0.0021321253118135944,9.944186991144924E-4,0.0013419621401227662,0.3121462742337373,-0.002624738909412963,0.25720765732568235,-0.002347062266063661
5.6,3.7584654295728166+1.6075410692968767E-7i,-5.680479840372934E-4,7.483407239419898E-4,0.09522153149466162,1.684708831917684E-4,-0.001231904804350606,-8.118772154843135E-4,-0.0025466946956283834,0.6149102425746648
5.6,3.960639965602851-7.661581610728439E-6i,0.013316941762165914,-0.06503583140553504,0.004326180620677668,0.3807746630410872,-0.3054607966193856,5.669444172948061E-4,-0.200775710631934,9.91860626293372E-4
5.6,3.9630054940466284-1.0503221004807205E-6i,-0.008398541467606914,0.16678611036733365,0.006478615491697315,0.1627361928998359,-0.2976273261334049,-2.626273159690197E-4,0.26201399941962356,0.008798592427591529
5.6,3.9838650146500565-3.985181077366986E-6i,0.09270338952973793,0.008052564382525626,6.228918398768282E-5,0.0038839049238178457,0.04411927200273951,-0.046573301969918345,0.023978606120176757,5.381122512509301E-5
5.8,3.1837753076574473+1.6593984732806025E-5i,0.015585585468986831,3.0585100795986475E-4,-2.9240861816284824E-5,-0.0010320432651812232,0.005318210295194352,0.8914434635318892,-0.0019368049363466307,8.314971840906078E-4
5.8,3.334855951618444+3.3079434476023904E-5i,-3.274574464300073E-6,-0.005303310005210907,-0.0493240577901008,4.6123930123136733E-4,-0.0010239495788778206,-0.005166616500119417,7.015094429552155E-4,0.07001056430969221
5.8,3.602596086723754-4.045454812171009E-6i,5.253527593154662E-4,0.5370196253985517,-0.0030128651683918074,-0.15113756176219334,-0.007691125796171781,-2.988831913864967E-4,0.006649899123118787,0.0017088516278639613
5.8,3.6698200102267853-4.423473631227159E-6i,-5.592099259660794E-4,0.01865492603686738,2.6145516908950006E-4,0.004738141930009689,0.2791392016973502,-0.0010797188428150464,0.24091565736844844,0.0032616721601236437
5.8,3.7557339046630758+1.0708345227497498E-6i,6.611059877891217E-4,-0.004570803762683557,0.10812913009039148,-0.0010510548359814464,0.0012984261295520966,-6.123036761304188E-4,-0.0018946470962238164,0.595080331239478
5.8,3.8903048961544364+8.371146628402283E-6i,0.06386356218053058,0.009921073874436356,6.31565280406858E-5,0.02035222963964742,-0.006957848538923051,-0.04446637425591865,0.007459426809514043,0.0017770249766174114
5.8,3.9191178140533967+1.6118272527245703E-6i,-0.002273112859276117,0.07883360402785428,0.0016413048721594659,0.06698687374417048,0.19438940656662257,1.3320509715522566E-4,0.38403122531923684,0.0013571381521230406
5.8,3.921225488649427-1.6870844380787536E-5i,-0.005005033727717503,0.21362888754314543,0.0059424040807285715,0.3805729789606215,-0.13023528442544574,0.0028374795965232825,-0.12786611818929733,0.00853041454265598
6,3.1686802296846786+7.864619111782609E-6i,-0.021783567388684588,0.0024450780815293005,5.885025737927332E-4,5.358061438459267E-4,-0.0048030621632509235,-0.8542064698389158,0.00149396951547349,-8.918850780662568E-4
6,3.2878794089390087+4.725841751930584E-6i,-2.605094747071923E-4,-0.004451464864402142,-0.03404457126966645,-0.0029738806829801433,-0.002208476533570928,-8.900917993168861E-5,1.9988163107168434E-4,-0.1359595269518521
6,3.569976717313321+4.454720573259199E-6i,6.015307226616921E-4,0.28199612241754946,-5.47452182587789E-4,-0.17159128180165462,7.123614685339355E-4,2.083077121451133E-4,-7.700631940578614E-4,0.0053789665505069965
6,3.629682611396378+3.9558039479727796E-6i,-2.9968824356551606E-4,0.001699789832980192,-0.003019281641308144,-0.0014959148354000383,-0.012114483213989027,8.803964505457332E-4,0.24268181837621386,-0.0014346022798327742
6,3.7537687539550886-5.197458948989744E-7i,-5.785476781206371E-4,-0.00435423889371217,0.1033744262350545,-1.4728431254415367E-4,-0.007083663721065808,-2.4642025782192767E-4,8.325598438628998E-4,0.6250807655145865
6,3.8023846536634003-3.6154719679635254E-6i,-0.005955964408098406,0.007401355338062389,3.17813269969866E-5,-0.006176809116559401,0.0097463887263195,-0.04696316896188456,-0.0046177257929894315,7.904591723434454E-4
6,3.8811466676273323+8.350969800982482E-6i,0.0035015562429925743,0.07323791230815774,0.001283147851295928,-0.030359422824018573,-0.02160278999299821,5.685685827612587E-4,-0.4155935516012721,0.005334072567628942
6,3.8834234794211104-1.1374455366201086E-5i,-0.0011565438321312418,0.16269342169257536,9.78694066606632E-4,0.45093463607854894,0.19181488874681732,-0.0016850792991309847,0.05158114223408037,0.019504181580057265
6.199999999999999,3.157501779151521+5.579625470745225E-6i,-0.051780696097344314,0.003903925905425966,0.0015689718452513708,3.869291910509054E-5,-0.003105859881546859,0.5652264534680215,-0.0055300488285583045,0.002472293172752585
6.199999999999999,3.249182580164758+7.203175210915704E-6i,-9.665740293511539E-4,-0.007194708053088809,-0.027598652742200257,0.00453250377574927,-7.11379858045709E-4,-0.004047408687754073,-3.699219172554058E-4,0.1566126702141939
6.199999999999999,3.5462924361353045+2.4240546090823794E-5i,-9.272877249130694E-4,0.08048527087875822,-0.0035107006974882463,-0.1896128270489873,-0.002865043481837715,6.908592260570761E-4,0.001220796917387833,-0.0012883222219209865
6.199999999999999,3.59874002352435+1.1767232618969376E-5i,-0.002668228128845554,0.013487716112800176,0.0015869783793315759,0.0032008127677844367,0.3239713894667287,-0.004857699041594735,0.12804103521957882,0.004861857696553479
6.199999999999999,3.725378027128053+3.3288110367977026E-6i,-0.029359827615157246,0.00989320384926752,0.003650895596837524,-0.0012787790657944748,0.004863902579271414,0.037066039271430214,-0.0044324485211777905,0.02187670344032559
6.199999999999999,3.754185498835185+6.045031182974591E-7i,0.0034977219709842492,-0.0037045684336977115,0.1133837309705639,-0.005391199595525482,0.003826014892117452,-0.002363812219568946,-1.4676885076984197E-4,0.601331541961425
