% Model,cylinder.mph
% Version,COMSOL 6.1.0.282
% Date,"Oct 30 2024, 18:57"
% Table,Table 4 - Surface Integration 1
% h0 (A/m),Eigenfrequency (Hz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1)
1750000,6.361109657515859E10+13.521945171657414i,-0.07894420295064863,1.7114675898245106E-4,0.07238097276335977,1.3693515385374087E-5,1.1087574406287151E-4,5.717702325616777E-5
1750000,6.365982837835528E10-277.2138701574183i,-0.2909883774189809,-1.9121988116777022E-5,-0.03524608682875829,2.0793441266299124E-4,2.9542832305141757E-4,-1.540379090331637E-4
2000000,7.15745394313634E10-4.981851714759805E-5i,7.37455278227909E-5,-0.005258234389849364,-1.446321523065946E-4,2.5664307313183173E-4,-3.362629937765844E-5,-8.924641280012735E-4
2000000,7.173534629655318E10-1.2510655906072855E-5i,4.0921349734029597E-4,-0.40122826075453805,6.483793040614623E-4,0.0012133080740703399,-1.5223865645176194E-4,4.172440561665911E-4
2000000,7.225538172594351E10-0.00471869859101484i,-5.237289916724943E-4,0.7238818741462343,-0.0010220861439515726,-0.0016647416157146919,2.3189403015993028E-4,-8.73069408222165E-4
2000000,7.238945624424094E10+19.508319262925713i,0.13739292034553782,4.511751688254703E-6,-0.03653114096729116,-1.538062481711922E-5,-1.961416787745066E-4,-5.7321184352610857E-5
2000000,7.240442225109567E10+108.98629426314868i,0.0755228412451086,-1.5596262082906342E-4,-0.06908565293505306,1.850696897731744E-5,2.073414024975637E-5,-1.045320887182135E-4
2000000,7.245494074741469E10+1424.2665936998262i,-0.18227582397144787,3.575128637723703E-5,-0.023874799961733424,4.7918752985733374E-5,3.357328829082457E-4,3.809070117859764E-5
2250000,8.036785623744386E10+2.8878671516268037E-5i,7.972956754435408E-5,-0.0346606771428492,-6.171594442506409E-5,2.6712076270096784E-4,-3.7836684916457176E-5,-6.51736702084462E-4
2250000,8.052867181139304E10+1.0872884709472498E-4i,3.516951401121418E-4,-0.33034130282566915,4.893804485451593E-4,0.00105249694047203,-1.3412554289780502E-4,9.506532231266969E-5
2250000,8.104869360425978E10+0.0011601164275681416i,-4.8077182866840045E-4,0.653172188454848,-8.98757563100866E-4,-0.0015351971668426771,2.141911826779605E-4,-6.555297813118262E-4
2250000,8.118443931970345E10-5.343339016215318i,0.07295807641517581,1.1372731701412806E-4,-0.020014373978005554,-1.773949311155721E-4,-2.2703975616569696E-4,1.9004092429240012E-4
2250000,8.119774460576263E10+28.059065052001333i,-0.055778994789613984,1.5836977626420737E-4,0.05166222781853624,1.329462705556628E-4,6.248590543176677E-4,-1.5549498027586487E-4
