% Model,cyl_axes_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 02:48"
% Table,Table 1 - Surface Integration 1
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
1.2,36.50555162060444+6.951313057217215E-8i,-1.5998807302622722E-4,-0.04630878154589816,-1.1420892170534065E-4,7.052516479864681E-5,3.504483045595801E-4,4.7210603256521005E-4,4.2917938511101883E-4
1.2,36.58805976962868+6.376672508416491E-7i,-2.0268847714597694E-4,-1.423156855446109E-4,-4.755351542607463E-4,0.33970430969960663,8.98458419854087E-5,-2.9197456928951427E-5,6.981822469885902E-5
1.4,22.846063771278356-1.233060141674456E-6i,-4.971657564411769E-6,0.2748119068728717,-2.9548986835355747E-5,2.628357323267961E-4,-1.726934276521785E-4,-1.558478511572491E-4,1.438211616899607E-4
1.4,24.653758527477407+3.6708953531474454E-6i,2.872693197336583E-5,0.07653473788108106,8.875949031650598E-5,-2.2725116821266863E-4,1.126221262390353E-4,4.0223153869358623E-4,-1.289052330747797E-4
1.4,26.61322462723918-1.069307459393643E-6i,0.6778931522678766,-2.841511278032938E-6,1.0922832156406518E-4,3.363642665915599E-5,1.5805415890037596E-4,-2.4795367238399313E-4,5.807802153667922E-5
1.4,26.71590849489447+1.0671033363150247E-7i,1.7925602159597688E-4,-7.155802526741936E-5,-0.17058507333287687,-1.3490106002966834E-4,-1.0725769851061822E-5,-1.045936658348376E-4,-5.7888570728962997E-5
1.4,28.652416690352872-9.880448147771483E-6i,-0.6888094300899231,1.0515914308168137E-5,-3.923110576143393E-5,-3.538943631419034E-5,-1.5989482609676142E-4,2.522146273016325E-4,-5.8091510130505034E-5
1.4,28.697076519752233-1.8055028120060583E-7i,9.482802275924693E-4,-9.642356286699769E-6,0.30116923134988915,-1.4558092202187549E-5,-2.4420251609981854E-4,2.0645849401330639E-4,-4.876405536584237E-5
1.4,32.08885407707904+4.974856424243579E-6i,9.664803517442693E-6,0.2814749208530887,1.2142738097345275E-5,2.93174816823998E-4,-1.8168536722743437E-4,-1.4211872841403582E-4,1.419681921276389E-4
1.4,32.97059709840475-1.2789770604388583E-6i,8.766587366810929E-7,-0.24472700869908118,-2.650491350368485E-5,-3.3631599356806366E-4,2.0387021616360076E-4,-6.664724264809893E-5,-1.4762408657840827E-4
1.4,33.0605174302859-4.14127130111395E-7i,-3.308877976586544E-5,-1.4123555894272633E-4,2.7645278516542357E-4,-0.27246005211157776,-1.3756315773845546E-4,6.154912363920779E-5,-9.745571580702198E-5
1.6,22.84518381009864+6.570440513781332E-7i,2.9251737638464866E-4,0.2434081749640608,-5.748594437808554E-5,2.260488823151645E-4,-6.457677476052212E-4,7.666414030356023E-5,1.591659808774652E-4
1.6,24.047349940120444+1.5615253993418548E-6i,2.529500350324592E-4,0.33328934474504424,5.0988301574395644E-5,1.3335145154518108E-4,-6.583990839209954E-4,-6.144963563646292E-4,-4.206810944792747E-5
1.6,25.776128059863527+1.70814099409992E-6i,0.6582988824486511,2.502608212104703E-4,8.142355488255165E-6,-2.334633385282538E-4,3.498099493512474E-4,-0.0011759485824207857,-0.0012131641006400793
1.6,25.882905552591282+4.3459989729135904E-7i,-3.7625604770513365E-5,5.192451833415692E-5,-0.04737382066508513,-1.590167760279789E-4,7.973524149524926E-4,-2.1152729827036205E-5,3.2905944462358993E-4
1.6,27.21239497905183+1.9985327151831054E-6i,-0.519012713405934,-2.45321599538706E-4,1.8108104421861782E-4,1.8591768293697354E-4,-2.719182770526486E-4,9.625430777508943E-4,9.913435613362993E-4
1.6,27.259745192712998+2.078831163012931E-6i,4.043961631227261E-4,-2.2742791192336144E-6,-0.19042474589964986,1.993809239740498E-5,8.307459997809128E-4,-2.197355577022168E-4,6.906882607837988E-5
1.6,29.66699469547256+9.68753653248308E-7i,2.821059609134924E-4,0.2568223616801731,-5.148526116876322E-5,2.3317437511623617E-4,-6.689343713572725E-4,3.7129384529459486E-5,1.5152079202899302E-4
1.6,30.672642108165622+2.0576765659945736E-6i,-1.2175181966705574E-4,-0.3444941893769955,-5.216792425414629E-5,-1.1505063215156055E-4,7.395207410288208E-4,9.735997203475457E-4,1.250709920930741E-4
1.6,30.770158064858656-9.17313105804269E-7i,-9.535313501872246E-5,2.2538427899411733E-4,1.1711750128410438E-4,0.011783707704974361,-1.5303676704587845E-4,-3.7932315965381517E-4,-9.830508178272613E-4
1.8,22.842677105138062-2.3021438725626694E-6i,-4.259344131328059E-4,0.25304875651073866,-1.849504127236105E-5,8.693441340813817E-5,5.443969127047898E-4,4.182443396569238E-4,2.029386139201739E-4
1.8,23.631105746403886+8.519560925176637E-7i,3.3811048734783757E-4,-0.008114852402547107,-1.043917840495956E-4,1.6800244210046322E-4,-7.6941473866211E-4,4.4492217927181956E-5,-2.2617073963180524E-5
1.8,25.200992194344416+8.145392937637678E-6i,-0.2735638419838525,3.6877621719236947E-4,-8.622540631925952E-5,-3.4141752621389456E-5,-2.72552617640949E-4,6.720811809881892E-5,-2.2317573161631946E-4
1.8,25.309294635249795-2.139095574841182E-6i,2.586975436531341E-4,5.378352479649484E-5,-0.3536189365065423,2.2409884109792608E-4,-2.471867544544127E-4,-3.732794798225728E-4,-2.5122949382581E-4
1.8,26.224758423189314-7.531276184690744E-7i,0.6016912504352284,-1.9867767594406718E-4,-1.234907760384892E-4,9.766610263739177E-5,6.142811545012088E-4,-1.2548676960970895E-4,4.69895948694604E-4
1.8,26.273680047116013-1.0895794434410928E-6i,-1.9967522205363347E-4,1.738952095339039E-4,0.22629368010121062,-6.854382828547559E-4,3.6854864577085466E-4,-3.758774486829702E-4,5.479498942803088E-4
1.8,28.007081340079736-1.6776267354265994E-6i,-5.760723634813757E-4,0.21593515327354762,2.01562599530429E-5,-2.1242984622486908E-5,6.052754322348825E-4,3.40909299492117E-4,1.727541994313979E-4
1.8,29.095722627950522+1.1341918282694624E-5i,5.353695538050927E-4,-0.14723230803577106,7.397181013646873E-5,-1.7973521157644016E-4,-7.271071033297885E-4,-5.794775100657913E-4,-2.2246902976422864E-4
1.8,29.19747984137762-3.835114531678083E-6i,1.1809754020043082E-4,0.0012612789082845034,-3.8186057450619834E-4,0.33001105846463513,-2.173614745595185E-4,-3.649081822048096E-4,-3.1479213416703826E-4
2,22.841079266235468+1.0739555666027103E-6i,3.146469550983225E-4,0.25752498856640016,-1.269201647069472E-4,5.426386319745436E-4,-6.108405713688644E-4,3.664206503239081E-5,-3.40495848653898E-4
2,23.333114416275752+2.1532898797556318E-6i,4.047783116067678E-4,0.0818066423914423,1.6362437202255898E-5,4.617503019179794E-4,-5.657751900210162E-4,1.93372761344163E-4,-4.629857249996508E-4
2,24.788475934233016+1.0036470740323045E-6i,0.6363021824384789,1.8232552969233302E-4,4.4258895770009804E-4,-4.83874612696899E-4,4.4567107671143876E-4,-1.972415667609389E-4,-7.841113292654435E-4
2,24.898867950406203+2.4876014130063697E-6i,2.4970724912496306E-4,-1.5004230533742564E-4,0.3535023650690278,-1.0182910289884816E-4,-2.376925020683858E-4,-1.855379780198937E-4,8.875618864186142E-5
2,25.517532927798143-4.466302619615275E-6i,-0.6618443111225736,-1.5216013198103513E-4,-2.3270362613207992E-4,4.883265124116985E-4,-4.8539357744226185E-4,1.989607156032873E-4,7.979894759696112E-4
2,25.568241978648782+2.6842590680918904E-6i,-6.43073607835623E-5,-2.4784323631727985E-4,0.33906420531741216,3.138219616869233E-5,-2.275661735202915E-4,1.4441240919758222E-4,1.538724368545303E-5
2,26.819677942757043-4.540566696332071E-6i,2.3082071466639008E-4,0.2414750587439445,-1.7322176445788695E-4,5.688485803188934E-4,-6.10493152614522E-4,6.233176199766285E-5,-3.620298942705898E-4
2,27.965792973317974-1.3663279651388453E-6i,1.696364779851514E-5,-0.3616847046328328,2.562746278169942E-4,-4.221737442813399E-4,3.6506243904046477E-4,1.7948830386575808E-4,-6.903845174974166E-5
2,28.072472191920873+2.4569922077808874E-6i,-4.9640307402753025E-5,-4.3027187042933167E-4,1.860867109375122E-4,-0.1398151053876943,8.87546688489725E-4,-4.898041176408786E-4,0.0012080466273720826
2.2,22.83842814885724-1.2525951118252313E-7i,-2.413479616329379E-4,0.24936292310434857,-1.1245008417750874E-4,-1.6919613598747205E-4,-7.901214043675448E-5,3.832509863941791E-4,-5.516056727528614E-4
2.2,23.112274406289945-8.554544039442212E-7i,-2.2006150798680035E-4,0.23543138475636363,-9.790244719699425E-5,-1.866146671966239E-4,-6.442077183656668E-5,3.7626783753832646E-4,-5.261683481204203E-4
2.2,24.48181513506025-1.20263280991097E-7i,-0.14720315928560948,1.0756699784628537E-4,-4.003783115215833E-5,-6.408573438000637E-6,-5.3464348217709884E-5,6.923462468569787E-5,-1.278842221703508E-4
2.2,24.593210719891076-1.945569458440471E-7i,2.2899714551346552E-4,-2.16012924949671E-4,0.34448644875951157,-4.653899551552604E-4,2.3518633809989863E-4,-5.475277656902458E-4,2.1394034332551299E-4
2.2,24.994374380640192-2.7856102605713493E-8i,-0.687887661112612,3.4955344474988753E-4,-6.14259482822801E-5,8.239475221641588E-5,-1.7483650474730655E-4,4.233777625046029E-4,-5.227297384154182E-4
2.2,25.04607744214474-3.6462936774463565E-7i,3.4745462100755335E-4,9.805026915926024E-5,0.009508385151193705,2.0383622830314716E-4,-1.5389238596210056E-4,1.1038600221609849E-4,3.9418513926216335E-4
2.2,25.94208289297058+1.252689806597291E-6i,-2.696997575400818E-4,0.24913069003308572,-1.1569680718342588E-4,-1.663020953593999E-4,-8.358932672675111E-5,3.8531899981178366E-4,-5.546395888177845E-4
