% Model,Cyl_Scales_axis-oriented.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 15:50"
% Table,Table 2 - parity_dmX_point00
% scale,Eigenfrequency (GHz),o (1),e (1)
1,22.824020308058405-1.2542250818419955E-6i,0.10220829165310397,35.0554208673052
1,27.096708503692568+2.991495125214021E-5i,12.212849218737423,-0.024572353697529525
1,29.996439742819838+8.984173862630619E-5i,0.22417149126912422,-3.968933935031864
1,30.08607979830862-8.846863572347269E-5i,-0.1797846390977595,1.857661823313414
1,34.473021961626905+8.808217703964331E-4i,4.806294602425622,0.1432045754368404
1,34.53852097918584-7.984560673580575E-4i,5.51732592448562,-0.007190433608350366
1,41.882933702340694-1.6132785863738755E-4i,-0.7369894037135909,-2.6881806915092032
1,42.22738091115603+6.144741514531227E-4i,0.04934652340685852,5.874943708684577
1,42.42554081680953-7.418810983086273E-4i,0.029546355017125547,7.791911960678389
1,46.81121401222275+7.687315033537867E-4i,1.5972345369939092,-0.14472750415965657
1,47.04859344407374-9.202296415512947E-4i,2.8740673208122343,-0.18839633406091805
1,49.10056328710541-1.64340961674031E-4i,-0.17597651471690667,-0.09737970160141884
1,49.41522244320134-4.070891365331631E-5i,-0.23637884024428857,0.1100384439261255
1.1,22.84893237309984+6.731728956272827E-7i,-0.002464166427324166,29.026353494433874
1.1,26.248230357926552+3.943375465525199E-6i,13.325336580105144,0.14363449507743686
1.1,28.818807738506802-3.777286428579251E-5i,-0.02545406416896534,21.775992938910136
1.1,28.915091483400314+4.094569277965252E-5i,0.05166764039496154,1.2607551788826303
1.1,32.43423040156681-1.9155337960554097E-4i,-13.226470565911756,0.19727530791814907
1.1,32.49844358310968+2.041268355169903E-4i,18.417085034461795,-0.09524367553170743
1.1,38.50482210774833+1.728438204584982E-6i,-0.148572921750931,-0.4732755722052633
1.1,39.02788631532996+1.4304143806090648E-4i,-0.0925312139373688,-2.3247856714710537
1.1,39.140697859466684-1.3231036465136668E-4i,0.05005496017729816,26.784259048316414
1.1,42.77036291843433-4.118253317778699E-5i,-4.9457332130007154,-0.3752620390348499
1.1,42.89680997371025+6.41982609637472E-5i,-10.395416487488715,-0.1740023581947523
1.1,44.697360700354366+2.184869891069404E-5i,-0.019297456732742413,0.1370719115757505
1.1,44.71970752621931-2.067672239064955E-5i,0.0949173497841137,-0.08165686641072845
1.2,22.843308768399094+1.5208606109167048E-9i,0.0031537422897665035,17.030767525056543
1.2,25.579761660234922-3.914441660882493E-7i,-11.94088264379354,-0.06845714775807776
1.2,27.89633279735271-2.0024464771354658E-7i,0.004830592856469362,28.188695822852534
1.2,27.988980723625538+3.973740784740374E-7i,-0.008401859055308325,-29.33545593265713
1.2,30.863371578065763+5.376151246803845E-7i,16.146700659945825,0.10035512156478932
1.2,30.897362105262463+2.4667390112067534E-7i,-9.603044627782568,-0.05056164963804477
1.2,35.817447272975606+9.068220816597764E-7i,0.16002765822944642,-0.008510076688620583
