% Model,Cyl_Scales_axis-oriented.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 18:09"
% Table,Table 2 - Volume Integration 2
% scale,Eigenfrequency (GHz),m=0 (nm),m=1 (nm),m=2 (nm),m=3 (nm),m=4 (nm),m=5 (nm),m=6 (nm)
1,22.824020308058405-1.2542250818419955E-6i,0.0056058666865993895,7.395203331957989,-0.0034578662538951588,0.014012352153774915,-0.008755970504751825,0.03704595505234319,0.01874893445863003
1,27.096708503692568+2.991495125214021E-5i,-0.0014254909090566092,4.997657398187456,0.0010901440794635064,0.01865233236673207,-0.0019230448765667485,0.019348734547931318,0.004748949350078052
1,29.996439742819838+8.984173862630619E-5i,-8.792984952639724,0.1128403611660001,-1.1538142038437946,-0.059728428421006285,0.09145268117177184,0.024204439637001654,-0.02143159131386073
1,30.08607979830862-8.846863572347269E-5i,-1.4228185659515142,-0.055784244695294256,6.368702593130008,-0.05903029348521596,-0.12056865263215476,0.009546844903427776,0.061030814231110744
1,34.473021961626905+8.808217703964331E-4i,-15.460891602357066,-0.01749381897901587,-0.21601707667020903,-0.021275420371214625,0.47363172967298983,0.055953854548986784,-0.18713860667885474
1,34.53852097918584-7.984560673580575E-4i,-5.126254655866806,0.011818984011819685,4.679198524941158,-0.06055107277608217,-1.4144169167150011,0.006850126193782873,-0.882110462335342
1,41.882933702340694-1.6132785863738755E-4i,-0.06288110596139443,8.435288155272206,0.022710059483493982,0.05292068462316975,-0.03699864258142252,0.1463763074059608,0.061831736250325425
1,42.22738091115603+6.144741514531227E-4i,-0.044036979290627415,6.7884038325741916,0.13477618188175733,-2.9802971730785313,-0.015528321477401075,1.3062054933357623,0.13744046067760898
1,42.42554081680953-7.418810983086273E-4i,0.10716007726548082,2.5639330175000654,0.018388855760834794,0.9587278555596958,-0.03765015129778662,-0.6980534878098223,0.030186983078447624
1,46.81121401222275+7.687315033537867E-4i,-0.008249433868146333,6.616336783005882,0.07535644563773625,-4.291146691718521,-0.0238342630973096,2.0256218894940488,0.08205590564270976
1,47.04859344407374-9.202296415512947E-4i,0.015429146076132567,4.872365951059066,-0.04446402667675301,5.7211113944069325,-0.02095450476137059,-1.2702878028278393,0.13595196781005753
1,49.10056328710541-1.64340961674031E-4i,-10.259533826936671,0.13494798432393065,2.1058535579166646,-0.30603618252100384,-0.14841955064809526,-0.1222163185620983,-0.43737095961583566
1,49.41522244320134-4.070891365331631E-5i,-7.002835125236512,-0.06645059383440674,0.6973265754710984,0.20963405826998943,-1.6980251913357418,-0.1876563514034048,1.4297700875058954
1.1,22.84893237309984+6.731728956272827E-7i,-0.023619630446471737,6.753095512786286,0.02187772408058556,0.02824412117357003,-0.021234397540965733,0.03583095284658958,0.020917565194422387
1.1,26.248230357926552+3.943375465525199E-6i,-0.0214562879553057,5.983541310437946,0.019941545996775126,0.02489052354894236,-0.018908061583743682,0.03204186936568518,0.018527060669392026
1.1,28.818807738506802-3.777286428579251E-5i,-18.190294648133367,-0.024000547374408793,0.10237816595004454,-0.012864656484251884,-0.06017765444692963,-0.007550377330946531,-0.08615059366475558
1.1,28.915091483400314+4.094569277965252E-5i,-0.6829942498339681,0.04329202095949185,-5.840266919337796,0.018922797478778813,0.640296633409163,0.005107527107114568,-0.1207484065940997
1.1,32.43423040156681-1.9155337960554097E-4i,-3.975021335030483,0.025813202732443544,-1.4921762584875007,0.033963763949213785,-0.9569234731653221,0.01092921843485476,-0.5819445223725472
1.1,32.49844358310968+2.041268355169903E-4i,-5.6465271605271745,0.0030471365034065584,-7.853031948850891,-0.007665226090787916,1.7319108047358418,-7.383508561449592E-4,-0.5792325625266596
1.1,38.50482210774833+1.728438204584982E-6i,-0.03447353498151695,7.063290135267627,-0.010379592107622813,-0.038134659892789274,-0.030824084141592822,-0.005492212812455748,0.013115071616324817
1.1,39.02788631532996+1.4304143806090648E-4i,0.053191464367011075,-9.061614165379641,-0.052841530010988985,-1.442905918566978,0.007453708818247223,2.120884023835822,0.011902439535828285
