% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 00:12"
% Table,Table 2 - orbital numbers
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
0.94,22.710598273840702+3.2510314640645055E-6i,0.025811177728458787,0.2502721965325769,0.02510700062994744,0.0017430428543016442,0.025145356553881365,0.001732904910887054,0.025156380093269023
0.94,23.527042388416458-8.752645090548731E-6i,0.019367920765677546,0.18636735188034054,0.019204355941638714,0.0012346666887920583,0.018717518583556015,0.001323519079026532,0.018716724391330975
0.94,24.499498069870036-2.3108078146880334E-5i,0.6390087133105284,-1.5127656977266749E-5,-0.03375330802064384,-2.2051919321815345E-5,-0.029219847944184876,-3.782349083563023E-6,-0.03385494558932783
0.94,24.592103972733373-2.5821957987223954E-5i,-0.016802324154617024,-3.185512236924813E-4,0.17557486140082923,-4.518802878342129E-4,-0.018954433589181693,1.0483459285585125E-5,-0.006169528568739106
0.94,25.505662300880932+3.566047199259979E-5i,-0.5459771060551939,-6.843302190600759E-4,0.029738868624280865,-3.152397383178435E-4,0.024489586607818695,9.21291002041737E-6,0.028642546327028586
0.94,25.526912684998262-3.949724265750979E-5i,-5.13214414560157E-4,8.017255881574826E-4,0.03398193693221965,4.218555414262679E-4,-0.0019594282390333396,3.3113046950364994E-4,-0.0011857927654986293
0.94,27.331025783110274+2.1427377279458522E-5i,-0.007678805784195688,-0.06592625886947467,-0.007202429333824039,8.402305475207011E-4,-0.00692285130774669,0.001705512315383725,-0.007081960611133116
0.94,27.410811703080256-5.116204985576271E-5i,-0.021679939828016227,-0.0011272124651021181,-0.02293061322318618,-0.22517536678061995,-0.021799081206974054,-0.01334477577152254,-0.021960532982040204
0.94,28.138188346801822-4.440921004744907E-5i,0.019579394839456407,0.19175737455860936,0.01941230005932026,0.0012624128773933547,0.01935783813490462,0.0013548602060205169,0.019363375472488467
0.94,28.47724719133473+2.7962047733828555E-5i,0.0037428860251310417,0.0792362572588144,0.007001375587476333,-0.0062073625825803495,0.00768521671837694,0.010600101884510516,0.007975905208993515
0.94,28.50519115161585-7.163341747079712E-5i,-0.0015676276653526524,0.006655575828223059,0.0060039150033419225,-0.019555981041512873,0.0031927815376692737,0.003157508573301552,0.001189644929391047
0.94,29.766646400042827+4.13103683129565E-5i,-0.027606734220980162,0.027915631685508608,-0.01858029313529674,-0.005207879654914182,-0.023701550265521825,-0.004173077806266845,-0.020657550146232197
0.96,22.75361030039921+1.945592796172333E-7i,0.021292634739183223,0.21246631024540807,0.02137565943393659,0.0014413908414813107,0.0213533589573382,0.001448928379466184,0.0213674864212754
0.96,23.451508993012474-6.647111217560065E-6i,-0.03480465973684707,-0.3467959840461965,-0.03509955301283462,-0.00233925584255984,-0.03495707787685365,-0.002385056810602635,-0.03496270595072535
0.96,24.595134620305643-7.339342088178598E-6i,-0.34233621265871345,3.1115721268523114E-5,0.020888702446633222,5.5081515975845434E-5,0.015253343726129086,7.53506441320064E-5,0.017963314922833127
0.96,24.6896155021204-1.938182236894539E-6i,0.03216454288699374,-1.1708209598834705E-4,-0.2776975856462912,9.204640905885042E-5,0.03168020197464418,3.0127336064350323E-5,0.009050170905316044
