% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 00:14"
% Table,Table 1 - Mode z parities
% scale,Eigenfrequency (GHz),ooo (1),eee (1)
0.94,22.710598273840702+3.2510314640645055E-6i,0.004899446935120209,0.9015343888653083
0.94,23.527042388416458-8.752645090548731E-6i,0.3654728243030755,0.041426548500763875
0.94,24.499498069870036-2.3108078146880334E-5i,0.004649318713347112,0.86440051306281
0.94,24.592103972733373-2.5821957987223954E-5i,0.00503141720051179,0.753743797083554
0.94,25.505662300880932+3.566047199259979E-5i,0.30659204557722436,0.03213907222175556
0.94,25.526912684998262-3.949724265750979E-5i,0.37305890809185277,0.0416081627361835
0.94,27.331025783110274+2.1427377279458522E-5i,0.003900387663937899,0.7912277847216028
0.94,27.410811703080256-5.116204985576271E-5i,6.705197907489542E-4,0.8965549011001448
0.94,28.138188346801822-4.440921004744907E-5i,0.05754337953028056,0.07028974226317733
0.94,28.47724719133473+2.7962047733828555E-5i,0.3049288365312724,0.03344570534094421
0.94,28.50519115161585-7.163341747079712E-5i,0.28586757539043195,0.03839159106794195
0.94,29.766646400042827+4.13103683129565E-5i,0.005249797889930898,0.9314811738237309
0.96,22.75361030039921+1.945592796172333E-7i,0.00437282472166046,0.8924729566302376
0.96,23.451508993012474-6.647111217560065E-6i,0.30813162146865275,0.03269148030735144
0.96,24.595134620305643-7.339342088178598E-6i,0.00234587632732132,0.7914561566196088
0.96,24.6896155021204-1.938182236894539E-6i,0.0024875013987923373,0.7747959372313081
0.96,25.494095512058177-6.073655172682343E-6i,0.2814043915702098,0.03243100535005495
0.96,25.520519913064362-5.3657549676407704E-6i,0.36843354251446137,0.04025215655451895
0.96,27.543015607511286-1.7161332003338945E-5i,0.005898891414861371,0.9461509338254014
0.96,27.623558466181684+1.6880913696007076E-5i,0.004866782004731208,0.7987884627164324
0.96,27.645302124667932-2.4854796456149672E-5i,0.057811806604939946,0.06871154014786954
0.96,28.57509898300163+5.480303075084758E-6i,0.3861178069954109,0.0423724693433949
0.96,28.60478173798549-8.75919049797849E-6i,0.35130312328146124,0.04131872500811842
0.98,22.788510543375374+3.0066383527302787E-7i,0.004127549271494312,0.9014880718986189
0.98,23.380332373703858+5.273380371160309E-6i,0.37515831919871556,0.04072721544062784
0.98,24.686546918492567-1.9835694445355098E-7i,5.429725503069287E-4,0.8736289015546987
0.98,24.78529063094036+4.3189047038331374E-7i,0.004709319852086629,0.804165391528447
0.98,25.49492183036838+1.3705025926820887E-7i,0.3771398329988949,0.03328993692204801
0.98,25.529501904204167-6.446855747620148E-6i,0.34389758932207787,0.03183326124495425
0.98,27.235696906405824+2.9163443765823183E-5i,0.0551959408306997,0.06131906889529612
0.98,27.742693016573792+7.76416123548957E-6i,0.006238185693701273,0.9509072194003237
0.98,27.83317250060233+1.9040428940708425E-6i,0.0045358959803314045,0.8854458823590893
0.98,28.68188183583647-7.028999294638872E-6i,0.29939330950787013,0.05651441820290828
0.98,28.731942098526957-6.642286783052186E-6i,0.3093738657923058,0.0456705666864684
0.98,29.308012712989516-3.9136300222310424E-5i,0.056913316079300835,0.04927710753050289
0.98,29.32118767471856+3.406218610817227E-5i,0.05652095144234382,0.06612890473376416
1,22.817859928649014+8.510230217553963E-7i,0.0037272156856532125,0.9006290264573433
1,23.315013234662334-1.646247049002915E-5i,0.37097582499951165,0.037166850478701906
1,24.77648720736711-9.70971315790435E-6i,0.0023460541652370976,0.6649203331479817
1,24.875755910945653-4.815364982866318E-5i,0.0027687022675928243,0.7516675404573322
1,25.4968202829081-1.2412672058783416E-5i,0.3510583981668278,0.03399124952083337
1,25.537000226721783-4.207336894808984E-5i,0.3742900413586187,0.03688598811131406
1,26.836175949017626-1.1924902591684525E-5i,0.056100958544771366,0.0627522005410797
1,27.949714960318328+4.4001456579625407E-5i,0.00301691642234553,0.7154467223609665
1,28.039938194483245-6.729649321770306E-5i,9.396863363708942E-4,0.8438737072938317
1,28.805509288468123+1.272254873720129E-5i,0.28776984806309003,0.0767652484790443
1,28.85688985910976-7.664094168811697E-5i,0.3633254103376375,0.03124744953773892
1,28.9955478251101+1.5774264988871903E-4i,0.05601502279396915,0.07789275770762263
1,29.009979670980577+1.2163289582084856E-5i,0.042133607057750766,0.05056038611320305
1.02,22.85990550291443+2.2902743986149044E-4i,0.08838946303500624,0.825938050248173
1.02,23.264214363192515+4.025754682708427E-4i,0.29660442816204274,0.12776649160944487
1.02,24.873253881645685+7.796424432011111E-5i,0.08560711124624622,0.7902641500979063
1.02,24.973368814430764+6.269871027387784E-5i,0.07646870298667173,0.7614420304915899
1.02,25.514263653668735+7.717112718884048E-5i,0.29674047069471793,0.12992551561509222
1.02,25.555671897680345+1.159865194951732E-4i,0.2857943066104068,0.11240811922832629
1.02,26.448348692318792+2.8124485845044744E-4i,0.056378033271135414,0.21565821128847926
1.02,28.166349154328508-1.1513383467961065E-4i,0.06455064153719883,0.5953138917540344
1.02,28.248299537540795+5.0102732726656086E-5i,0.0729464400545423,0.7373043818982234
1.02,28.699993859286096+7.11382741421309E-5i,0.04139416473278959,0.18551245513913933
1.02,28.708148085458088+3.323662019219742E-5i,0.05464564566001282,0.21522716122763524
1.02,28.939808806984235-5.0658116154798035E-5i,0.21947798399174462,0.16069526534836578
