% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 27 2025, 22:10"
% Table,Table 1 - Mode z parities
% scale,Eigenfrequency (GHz),ooo (1),eee (1)
0.4,21.460955050810135+1.401716981471728E-9i,4.5544059309474076E-5,0.9009882258566918
0.4,21.908461889813125+4.6379591056202444E-8i,1.0322448445074531E-4,0.7237893484019029
0.4,21.916988518413536-3.736740287334192E-8i,1.0145861941078224E-4,0.8884542467577625
0.4,22.537992880398747+1.4842397526930496E-7i,3.647090087734711E-5,0.9013261790362069
0.4,22.55038627997498-6.983100530058657E-8i,1.0126148319175893E-4,0.6778933352073845
0.4,22.952084618003727+1.0026079261963112E-7i,4.790426742416406E-5,0.9131722099446288
0.4,23.340725631588114+2.2699878322121177E-7i,8.774636905129729E-5,0.9296630908439734
0.4,23.35693613219536-1.2020780077801398E-7i,3.0555473685964633E-5,0.8893760848399075
0.4,24.208827206821237+1.0557309157338662E-7i,5.4629495542439665E-5,0.888567805048893
0.4,24.210400107363863+8.078514205023178E-8i,2.6590936077535812E-5,0.7151184292290111
0.4,24.316782621122396+2.7675561704080293E-7i,1.632692107241817E-4,0.6933305415208001
0.4,24.336029584102583-1.8972028266043304E-7i,4.8299756029427884E-5,0.6626133969991358
0.4,25.46591252900345+3.1197708827754283E-7i,2.1677170969149984E-4,0.7180880585389947
0.4,25.48738072566536-2.7768004471829345E-7i,8.519941961012498E-5,0.8154210260864457
0.4,25.68011515932105+2.935997245548036E-7i,6.13738277075557E-5,0.8901558269892519
0.4,25.68233619050157+2.911307569779489E-7i,3.098043059809826E-5,0.8924290605214483
0.42000000000000004,21.501918465297592-2.4568298551258935E-9i,1.4369226137252977E-4,0.8994119054680224
0.42000000000000004,21.995608854727905-6.024152886885019E-8i,1.103313064860418E-4,0.7235594431174653
0.42000000000000004,22.00594783778144+8.098747582507879E-8i,1.2047142994514213E-4,0.8219938644723143
0.42000000000000004,22.687159917516276-3.639670181037657E-8i,4.52492376983657E-5,0.822327599988033
0.42000000000000004,22.70268035804952+9.608462600216628E-8i,9.308586148667406E-5,0.7685705597947912
0.42000000000000004,23.146774740486464+1.510144323392883E-7i,1.5145015002860883E-4,0.8300637896742331
0.42000000000000004,23.56848283111828-1.822361967984218E-8i,6.949792254996199E-5,0.8005933188189317
0.42000000000000004,23.588624152845085+1.355481521708223E-7i,6.395779582815682E-5,0.8997070041719967
0.42000000000000004,24.529701683314222-1.7360879476990432E-7i,1.4143811648484932E-4,0.7314047340380183
