% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 30 2025, 13:55"
% Table,Table 2 - dmY parity
% scale,Eigenfrequency (GHz),ooo (1),eoo (1),oeo (1),ooe (1),eeo (1),eoe (1),oee (1),eee (1)
1,3.7432566576803694+1.1223624305120796E-5i,-1.6114546804778688E-4,-0.017014694829049385,-0.0016105643291046043,0.001527827891248592,-0.001472352649769745,6.438974340342821E-4,0.004084747920959488,0.014562867017938103
1,9.046792418196883+2.5627330675791715E-5i,0.001231884811975133,3.1224875776542094E-4,0.002832377278041989,-3.697228994144445E-4,0.009588765108153523,-0.027183539736910078,-0.0040763122340838065,-0.0045016151395472215
1,9.968680523242709+1.2613143344828257E-5i,-3.270807639006429E-4,-2.6469344986483894E-4,-3.9069365408210955E-4,9.483815379234158E-4,-0.04025042805196195,0.005728787056334904,0.003960956946116985,0.0015213377275588701
1,10.932457535737223+3.323112416557941E-5i,0.005076161009679415,2.911981772015713E-4,0.0012329488268270786,-3.7806028192591083E-4,0.003177524919865361,-0.004929642264239252,-0.006338922438247657,-0.008693338020810352
1,15.438063019849915+2.313313948295633E-5i,-3.736373146338526E-4,-7.246487181588016E-4,-0.0011274981977672106,4.172616822500509E-4,-5.741623314550262E-4,2.7807238694813703E-4,5.3482984964217E-4,0.10531936223557231
1,16.14639595976857+7.318146329129108E-5i,5.0086952738542215E-5,3.1463103244641394E-4,-0.0014308354589782591,-0.012096194321964265,7.834185171107038E-4,-1.8193731962289983E-4,0.0010892890795452881,-0.001133146365390258
1,22.51659555770023+6.907899924503064E-5i,-3.421490546891648E-5,0.014394766591004082,-0.0011873407705368197,-3.0693688122239123E-4,-0.0019110627604451418,-4.132991856343328E-4,0.003767128855678901,0.001657449207059621
1,22.574115256548197-1.9708738096637193E-5i,-6.698068905730998E-5,-0.00182437072616801,0.019121920907414054,6.414758873679836E-4,-1.8071658995047393E-4,-0.0015284463857866966,-1.9787409503667667E-4,3.935837185172547E-4
1.2,3.745908927437222-2.4563263385590504E-6i,-8.875073573699554E-6,-0.02269283811508044,-8.950780248587394E-4,0.0016196850226324023,2.8533457402045524E-4,6.525975122395195E-4,-9.665285212433891E-4,-0.027284643726489897
1.2,7.465040035214527-1.930853718935471E-5i,-0.0013331967056949038,-4.566021654444164E-4,5.5244636368771374E-5,8.153633731280345E-5,0.01287097328161403,0.043603771351617214,0.0012924001930077864,-5.485031405434108E-4
