% Model,Cyl.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 26 2025, 04:13"
% Table,Table 2 - Global Evaluation 1
% scale,Eigenfrequency (GHz),mode_volume (1),mode_char (1),ooo (1),ooe (1),oeo (1),eoo (1),oee (1),eoe (1),eeo (1),eee (1)
4.1,3.361739663775344+4.549987280243446E-6i,0.30409082949743604,1.5329223480561471,-0.031666996084149884,4.143040274040756E-4,7.419126251484575E-5,0.0014350514636853812,-7.97216837656415E-4,-0.12449272735481179,4.3340648775384464E-4,-6.160277302883409E-4
4.1,3.69511608851884-2.852730239008327E-6i,0.419441168712693,1.4826913790420972,2.4797749990037107E-4,-3.2695459889061984E-4,0.01283979894339233,0.002222740613136314,-9.385548189771509E-4,1.6392645822717466E-4,0.003658443585394497,-0.09550648814224712
4.1,3.903436423005702+1.6231553924072108E-6i,0.19089494018882702,1.780225553241312,4.0750707837681495E-4,-0.006883729206138637,-1.884902235482681E-4,-0.01743085411093463,0.05515062568428271,-3.207451499786753E-4,-0.07537364469504144,0.0011757339008062132
4.1,3.926393867391758-1.7792289678858576E-5i,0.1355181087501041,2.0328972209066944,1.549252900840431E-4,-0.06004311059510726,-1.4949407605009633E-4,-0.02105376262473954,-0.01177419386016436,-4.405693223215309E-4,0.004250846657869794,-0.004869550217466433
4.1,4.01079348141866-1.371923665069504E-5i,0.29785082112010175,1.3432587812206032,-6.934515119927199E-4,7.498125400505819E-4,0.001036886816123602,0.009022380916501312,-0.001636054469527459,-6.756420557484177E-4,6.80429335473587E-4,0.10871635713133876
4.1,4.368785922916378+7.724718019854113E-6i,0.28980930726083526,1.686344940710613,0.0012819857511445361,0.0052819490190958,0.00336108335886521,8.909930786673752E-4,-0.06930250569243174,5.609006984690576E-4,-0.11133890763889813,0.002281425916572006
4.1,4.466300821355725+3.401923612358834E-5i,0.22406935700923633,1.8054141442477574,-0.016735847362099425,0.41943688475970403,0.004942214268127413,-0.002985189740105994,-8.584349955088522E-5,3.683218157606773E-4,0.003328336516423906,4.4188100035415386E-4
4.1,4.624002832695574-1.2790224488635887E-6i,0.15822515053162378,1.955385127274856,0.001844154577806998,0.010835318586043589,0.022230870743969913,2.626401608587098E-4,0.0031294181015460634,4.5229513106445045E-5,-0.010256563006792885,-0.07014381590893858
4.1,4.658813068344578-1.7848901119179478E-5i,0.16291637973695627,1.8073034209729055,-2.5415579645075755E-4,0.0017158778302469428,-0.022700010340365877,-0.0011975983775573437,0.0098918769395681,9.538804993128773E-4,0.1334186921157877,0.004532466487714847
4.1,4.838506507979692-3.18295453648365E-5i,0.1632209814899691,2.195333709906841,0.4513150027647166,0.015583779526124032,0.0012651439025410417,6.874098608094738E-4,-0.003334404271180083,-0.00556625549253838,-0.001745271690554032,0.0013503257619704033
4.199999999999999,3.3457874286002776+1.1318358805417331E-5i,0.3024177491479146,1.5310138708535546,-0.029395653657009232,-0.0010944636964595673,-1.2297564884396472E-5,-1.459564424116853E-4,-1.618136843577042E-4,-0.13690551804004625,-2.3390864025784103E-4,-3.4723307110833375E-4
4.199999999999999,3.692766076250281+4.6726350487294307E-7i,0.3675857438161171,1.5396178928870847,5.117122324424434E-4,-0.0015852503677834288,0.012730393769747666,4.7328178584297894E-4,8.417219654962841E-4,2.6617919676823133E-4,-3.016809306247689E-4,-0.10368366669242936
4.199999999999999,3.8848776352962826-2.70462153988108E-6i,0.17825616744030687,1.8016907073957267,0.0010204685385591182,-0.010484215774631683,7.93521771672229E-5,0.027791753498966756,-0.039615347137450824,-1.7959105104990635E-4,-0.10363669069456599,-0.0031729501164459504
